Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
MNIST,ResNet,64,0.001,None,Adam,0.011832444928586483,0.0023547096643596888,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1551301926374435), 'final': 0.46167778968811035, 'max': 10.501493453979492, 'min': 0.0877736285328865}}",MNISTResNet_BS64_LR0.001_SCHDLNone_Adam
MNIST,ResNet,64,0.001,StepLR,Adam,0.0010551540181040764,0.0010551540181040764,,,,,7.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1924643223272993), 'final': 0.03425701707601547, 'max': 11.730413436889648, 'min': 0.03425701707601547}}",MNISTResNet_BS64_LR0.001_SCHDLStepLR_Adam
MNIST,ResNet,64,0.005,Cosine,Adam,0.009349841624498367,0.0025173802860081196,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7792023167885999), 'final': 0.1224384531378746, 'max': 14.122159004211426, 'min': 0.04788816347718239}}",MNISTResNet_BS64_LR0.005_SCHDLCosine_Adam
MNIST,ResNet,64,0.005,None,Adam,0.0228694099932909,0.00384169677272439,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7199307713023526), 'final': 0.2826603949069977, 'max': 12.727262496948242, 'min': 0.045129869133234024}}",MNISTResNet_BS64_LR0.005_SCHDLNone_Adam
MNIST,ResNet,64,0.005,StepLR,Adam,0.010280324146151543,0.0015238584019243717,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6751577847122037), 'final': 0.1275009959936142, 'max': 8.97400188446045, 'min': 0.014017480425536633}}",MNISTResNet_BS64_LR0.005_SCHDLStepLR_Adam
MNIST,ResNet,64,0.01,Cosine,Adam,0.04962404817342758,0.002212279476225376,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.5781658049672842), 'final': 0.44967421889305115, 'max': 10.738733291625977, 'min': 0.024142064154148102}}",MNISTResNet_BS64_LR0.01_SCHDLCosine_Adam
MNIST,ResNet,64,0.01,None,Adam,0.051698632538318634,0.0025958954356610775,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.5772679065096569), 'final': 0.37452080845832825, 'max': 10.349332809448242, 'min': 0.027378572151064873}}",MNISTResNet_BS64_LR0.01_SCHDLNone_Adam
MNIST,ResNet,64,0.01,StepLR,Adam,0.042637359350919724,0.003792242147028446,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6456599292999252), 'final': 0.4579771161079407, 'max': 13.154860496520996, 'min': 0.04440663382411003}}",MNISTResNet_BS64_LR0.01_SCHDLStepLR_Adam
MNIST,ResNet,32,0.01,None,Adam,0.0017470658058300614,0.0017470658058300614,,,,,60.0,"{'StressTest/GradientNorm': {'avg': np.float64(3.2376597803665854), 'final': 0.029733775183558464, 'max': 43.65292739868164, 'min': 0.029733775183558464}}",ResNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,32,0.01,None,Adam,,,,,,,,{},CIFAR10ResNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,32,0.01,None,Adam,1.5100703239440918,1.0458451509475708,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9261013580881018), 'final': 0.9677693843841553, 'max': 12.321971893310547, 'min': 0.3733895719051361}}",ResNet_BS32_LR0.01_SCHDLNone_Adam
