Optimizer,Dataset,Architecture,BatchSize,LR,Scheduler,TestAccuracy
SGD,CIFAR100,PlainNet,128,1e-05,Cosine,1.9800000190734863
SGD,CIFAR100,ResNet,1024,0.001,None,11.15999984741211
SGD,CIFAR100,ResNet,128,1e-05,StepLR,1.840000033378601
SGD,CIFAR100,PlainNet,128,0.1,StepLR,35.560001373291016
SGD,CIFAR100,PlainNet,1024,0.01,None,17.860000610351562
SGD,CIFAR100,ResNet,1024,0.001,Cosine,7.730000019073486
SGD,CIFAR100,ResNet,128,0.1,None,44.31999969482422
SGD,CIFAR100,PlainNet,128,1e-05,None,1.850000023841858
SGD,CIFAR100,PlainNet,128,0.0001,None,5.360000133514404
SGD,CIFAR100,ResNet,128,0.01,StepLR,47.18000030517578
SGD,CIFAR100,PlainNet,512,0.1,StepLR,36.11000061035156
SGD,CIFAR100,PlainNet,1024,1e-05,None,0.7200000286102295
SGD,CIFAR100,ResNet,1024,0.1,None,42.41999816894531
SGD,CIFAR100,PlainNet,32,0.0001,Cosine,6.329999923706055
SGD,CIFAR100,ResNet,32,1e-05,Cosine,4.179999828338623
SGD,CIFAR100,ResNet,32,0.0001,StepLR,19.079999923706055
SGD,CIFAR100,PlainNet,512,1e-05,None,1.5399999618530273
SGD,CIFAR100,PlainNet,1024,0.1,StepLR,36.33000183105469
SGD,CIFAR10,PlainNet,1024,1e-05,Cosine,10.170000076293945
SGD,CIFAR10,PlainNet,128,0.01,StepLR,79.54000091552734
SGD,CIFAR10,PlainNet,512,0.1,None,66.31999969482422
SGD,CIFAR10,ResNet,1024,1e-05,None,12.289999961853027
SGD,CIFAR10,PlainNet,32,1e-05,Cosine,22.399999618530273
SGD,CIFAR10,PlainNet,128,0.001,None,71.9000015258789
SGD,CIFAR10,ResNet,1024,0.1,StepLR,70.33000183105469
SGD,CIFAR10,ResNet,512,1e-05,StepLR,17.549999237060547
SGD,CIFAR10,ResNet,128,0.1,Cosine,85.55999755859375
SGD,CIFAR10,PlainNet,512,1e-05,Cosine,9.960000038146973
SGD,CIFAR10,ResNet,128,0.0001,StepLR,51.58000183105469
SGD,CIFAR10,PlainNet,1024,0.001,None,39.47999954223633
SGD,CIFAR10,ResNet,512,0.1,Cosine,82.2699966430664
SGD,CIFAR10,ResNet,512,0.0001,StepLR,36.4900016784668
SGD,CIFAR10,PlainNet,32,0.1,Cosine,83.94000244140625
SGD,CIFAR10,PlainNet,512,0.001,None,55.59000015258789
SGD,CIFAR10,ResNet,128,0.0001,None,53.15999984741211
SGD,CIFAR10,ResNet,512,0.01,None,67.66999816894531
SGD,CIFAR10,ResNet,1024,1e-05,Cosine,9.970000267028809
SGD,CIFAR10,PlainNet,128,0.001,Cosine,69.26000213623047
SGD,CIFAR10,ResNet,128,0.001,StepLR,69.3499984741211
SGD,CIFAR10,PlainNet,1024,0.0001,Cosine,13.699999809265137
SGD,CIFAR10,PlainNet,1024,0.01,StepLR,66.41999816894531
SGD,CIFAR10,PlainNet,32,0.01,StepLR,81.27999877929688
SGD,CIFAR10,ResNet,1024,0.01,Cosine,71.54000091552734
SGD,CIFAR10,ResNet,512,0.1,None,77.44999694824219
SGD,CIFAR10,ResNet,32,0.1,None,68.02999877929688
SGD,CIFAR10,ResNet,32,0.001,None,79.98999786376953
SGD,CIFAR10,ResNet,1024,0.0001,Cosine,24.09000015258789
SGD,CIFAR10,PlainNet,128,0.0001,StepLR,41.38999938964844
SGD,CIFAR10,ResNet,32,0.001,Cosine,80.0999984741211
SGD,CIFAR10,PlainNet,512,0.01,Cosine,76.5999984741211
SGD,CIFAR10,PlainNet,512,0.0001,StepLR,25.239999771118164
SGD,CIFAR10,ResNet,1024,0.0001,None,30.979999542236328
SGD,CIFAR10,ResNet,32,0.01,StepLR,78.31999969482422
SGD,CIFAR10,ResNet,32,0.1,Cosine,86.68000030517578
SGD,CIFAR10,ResNet,32,0.01,None,81.08999633789062
SGD,CIFAR10,PlainNet,512,0.0001,None,25.709999084472656
SGD,CIFAR10,PlainNet,32,0.1,None,54.86000061035156
SGD,CIFAR10,PlainNet,1024,0.001,StepLR,44.90999984741211
SGD,CIFAR10,ResNet,512,0.01,StepLR,73.7699966430664
SGD,CIFAR10,PlainNet,32,0.001,StepLR,80.19999694824219
SGD,CIFAR10,PlainNet,512,0.001,StepLR,58.81999969482422
SGD,CIFAR10,ResNet,512,0.001,Cosine,56.869998931884766
SGD,CIFAR10,PlainNet,1024,0.1,Cosine,80.37999725341797
SGD,CIFAR10,ResNet,512,0.001,None,60.0
SGD,CIFAR10,ResNet,32,0.0001,Cosine,62.70000076293945
SGD,CIFAR10,ResNet,32,1e-05,StepLR,40.91999816894531
SGD,CIFAR10,PlainNet,32,0.0001,StepLR,63.619998931884766
SGD,CIFAR10,PlainNet,32,0.001,None,79.36000061035156
SGD,CIFAR10,PlainNet,512,0.1,Cosine,82.4800033569336
SGD,CIFAR10,ResNet,128,0.01,Cosine,82.06999969482422
SGD,CIFAR10,ResNet,1024,0.001,StepLR,55.06999969482422
SGD,CIFAR10,PlainNet,512,0.01,None,68.91000366210938
SGD,CIFAR10,PlainNet,128,0.1,Cosine,84.41999816894531
SGD,CIFAR10,ResNet,128,1e-05,Cosine,22.0
SGD,CIFAR10,ResNet,128,0.001,None,69.66999816894531
SGD,CIFAR10,PlainNet,32,0.01,None,79.18000030517578
SGD,CIFAR10,PlainNet,128,1e-05,StepLR,16.760000228881836
SGD,CIFAR10,ResNet,512,0.0001,Cosine,30.56999969482422
SGD,CIFAR10,PlainNet,32,0.1,StepLR,58.29999923706055
SGD,CIFAR10,ResNet,512,0.1,StepLR,77.18000030517578
SGD,CIFAR10,PlainNet,32,1e-05,None,27.559999465942383
SGD,CIFAR10,ResNet,128,0.01,None,79.58999633789062
SGD,CIFAR10,ResNet,128,0.0001,Cosine,44.630001068115234
SGD,CIFAR10,ResNet,512,1e-05,None,18.030000686645508
SGD,CIFAR10,PlainNet,512,1e-05,StepLR,10.949999809265137
SGD,CIFAR10,ResNet,128,0.1,StepLR,76.13999938964844
SGD,CIFAR10,ResNet,512,1e-05,Cosine,15.619999885559082
SGD,CIFAR10,ResNet,1024,0.1,Cosine,81.0
SGD,CIFAR10,ResNet,128,1e-05,None,26.979999542236328
SGD,CIFAR10,PlainNet,32,1e-05,StepLR,31.43000030517578
SGD,CIFAR10,ResNet,1024,0.01,None,70.02999877929688
SGD,CIFAR10,PlainNet,128,0.01,Cosine,82.4000015258789
SGD,CIFAR10,PlainNet,1024,1e-05,StepLR,9.529999732971191
SGD,CIFAR10,PlainNet,512,0.0001,Cosine,18.1200008392334
SGD,CIFAR10,PlainNet,512,0.01,StepLR,71.54000091552734
SGD,CIFAR10,ResNet,32,0.001,StepLR,77.55000305175781
SGD,CIFAR10,PlainNet,128,0.0001,Cosine,33.83000183105469
SGD,CIFAR10,ResNet,1024,0.0001,StepLR,30.739999771118164
SGD,CIFAR10,ResNet,32,0.0001,None,68.29000091552734
SGD,CIFAR10,PlainNet,1024,0.1,None,74.36000061035156
SGD,CIFAR10,ResNet,1024,0.01,StepLR,58.619998931884766
SGD,CIFAR10,PlainNet,32,0.01,Cosine,84.19000244140625
SGD,CIFAR10,PlainNet,1024,0.01,Cosine,69.94999694824219
SGD,CIFAR10,PlainNet,1024,0.0001,StepLR,19.90999984741211
SGD,CIFAR10,ResNet,128,0.001,Cosine,70.70999908447266
SGD,CIFAR10,PlainNet,128,0.001,StepLR,70.8499984741211
SGD,CIFAR10,ResNet,1024,1e-05,StepLR,11.970000267028809
SGD,CIFAR10,ResNet,512,0.0001,None,36.91999816894531
SGD,CIFAR10,ResNet,512,0.001,StepLR,60.36000061035156
SGD,CIFAR10,PlainNet,512,0.001,Cosine,44.5099983215332
SGD,CIFAR10,PlainNet,32,0.001,Cosine,80.5999984741211
SGD,CIFAR10,ResNet,512,0.01,Cosine,76.04000091552734
SGD,CIFAR10,PlainNet,1024,0.001,Cosine,31.56999969482422
SGD,CIFAR10,ResNet,32,1e-05,None,40.79999923706055
SGD,CIFAR10,PlainNet,128,0.01,None,76.04000091552734
SGD,CIFAR10,ResNet,32,0.1,StepLR,72.87000274658203
SGD,CIFAR10,ResNet,32,0.01,Cosine,84.25
SGD,CIFAR10,PlainNet,128,0.1,None,68.94999694824219
SGD,CIFAR10,PlainNet,32,0.0001,None,66.37000274658203
SGD,CIFAR10,PlainNet,1024,0.0001,None,17.899999618530273
SGD,CIFAR10,PlainNet,128,1e-05,Cosine,12.3100004196167
SGD,CIFAR10,ResNet,1024,0.001,None,55.04999923706055
SGD,CIFAR10,ResNet,128,1e-05,StepLR,29.3799991607666
SGD,CIFAR10,PlainNet,128,0.1,StepLR,69.20999908447266
SGD,CIFAR10,PlainNet,1024,0.01,None,69.55000305175781
SGD,CIFAR10,ResNet,1024,0.001,Cosine,49.02000045776367
SGD,CIFAR10,ResNet,128,0.1,None,74.5
SGD,CIFAR10,PlainNet,128,1e-05,None,19.3700008392334
SGD,CIFAR10,PlainNet,128,0.0001,None,43.0
SGD,CIFAR10,ResNet,128,0.01,StepLR,76.23999786376953
SGD,CIFAR10,PlainNet,512,0.1,StepLR,70.5999984741211
SGD,CIFAR10,PlainNet,1024,1e-05,None,11.510000228881836
SGD,CIFAR10,ResNet,1024,0.1,None,74.0199966430664
SGD,CIFAR10,PlainNet,32,0.0001,Cosine,55.91999816894531
SGD,CIFAR10,ResNet,32,1e-05,Cosine,35.34000015258789
SGD,CIFAR10,ResNet,32,0.0001,StepLR,68.51000213623047
SGD,CIFAR10,PlainNet,512,1e-05,None,12.460000038146973
SGD,CIFAR10,PlainNet,1024,0.1,StepLR,69.31999969482422
Adam,MNIST,ResNet,1024,0.0003,Cosine,99.30000305175781
Adam,MNIST,PlainNet,128,0.0003,StepLR,99.54000091552734
Adam,MNIST,PlainNet,128,0.001,None,99.0999984741211
Adam,MNIST,ResNet,32,0.002,StepLR,99.62999725341797
Adam,MNIST,PlainNet,512,0.0003,StepLR,99.26000213623047
Adam,MNIST,ResNet,32,0.003,Cosine,99.52999877929688
Adam,MNIST,PlainNet,1024,0.0003,None,99.26000213623047
Adam,MNIST,PlainNet,32,0.0003,None,99.43000030517578
Adam,MNIST,ResNet,128,0.0001,StepLR,99.37000274658203
Adam,MNIST,PlainNet,1024,0.001,None,98.98999786376953
Adam,MNIST,ResNet,1024,0.002,None,98.8499984741211
Adam,MNIST,ResNet,128,0.003,StepLR,99.58999633789062
Adam,MNIST,PlainNet,1024,0.0003,Cosine,99.31999969482422
Adam,MNIST,PlainNet,128,0.003,Cosine,99.54000091552734
Adam,MNIST,ResNet,128,0.002,Cosine,99.63999938964844
Adam,MNIST,ResNet,512,0.0001,StepLR,99.0199966430664
Adam,MNIST,PlainNet,512,0.001,None,99.05999755859375
Adam,MNIST,PlainNet,128,0.002,StepLR,99.58000183105469
Adam,MNIST,ResNet,128,0.0001,None,99.05000305175781
Adam,MNIST,PlainNet,128,0.0003,None,99.22000122070312
Adam,MNIST,ResNet,128,0.0003,StepLR,99.54000091552734
Adam,MNIST,ResNet,512,0.0003,StepLR,99.45999908447266
Adam,MNIST,ResNet,1024,0.003,None,99.18000030517578
Adam,MNIST,PlainNet,128,0.001,Cosine,99.68000030517578
Adam,MNIST,ResNet,128,0.001,StepLR,99.48999786376953
Adam,MNIST,PlainNet,1024,0.0001,Cosine,98.91999816894531
Adam,MNIST,ResNet,32,0.001,None,99.33999633789062
Adam,MNIST,ResNet,1024,0.0001,Cosine,98.86000061035156
Adam,MNIST,PlainNet,128,0.0001,StepLR,99.41999816894531
Adam,MNIST,ResNet,32,0.001,Cosine,99.69999694824219
Adam,MNIST,PlainNet,512,0.0001,StepLR,99.08999633789062
Adam,MNIST,ResNet,1024,0.003,StepLR,99.5999984741211
Adam,MNIST,ResNet,1024,0.0001,None,99.16000366210938
Adam,MNIST,ResNet,1024,0.002,Cosine,99.52999877929688
Adam,MNIST,PlainNet,512,0.0001,None,98.86000061035156
Adam,MNIST,PlainNet,1024,0.001,StepLR,99.61000061035156
Adam,MNIST,PlainNet,32,0.001,StepLR,99.61000061035156
