Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
MNIST,ResNet,64,0.001,Cosine,SGD,0.012339581735432148,0.0020920317620038986,,,,,487,"{'StressTest/GradientNorm': {'avg': np.float64(2.2699532252162506), 'final': 1.339036226272583, 'max': 9.031557083129883, 'min': 0.08158434927463531}}",MNIST_ResNet_BS64_LR0.001_SCHDLCosine_SGD
MNIST,ResNet,64,0.001,None,SGD,0.002223710995167494,0.001979217864573002,,,,,437,"{'StressTest/GradientNorm': {'avg': np.float64(2.28227823217318), 'final': 0.12573635578155518, 'max': 8.476274490356445, 'min': 0.07106107473373413}}",MNIST_ResNet_BS64_LR0.001_SCHDLNone_SGD
MNIST,ResNet,64,0.001,StepLR,SGD,0.05295829474925995,0.0023516621440649033,,,,,517,"{'StressTest/GradientNorm': {'avg': np.float64(2.287262497264058), 'final': 4.373532295227051, 'max': 6.348443508148193, 'min': 0.08206110447645187}}",MNIST_ResNet_BS64_LR0.001_SCHDLStepLR_SGD
MNIST,ResNet,64,0.005,Cosine,SGD,0.1256369650363922,0.0008584327297285199,,,,,148,"{'StressTest/GradientNorm': {'avg': np.float64(1.2661922975159339), 'final': 3.541278123855591, 'max': 6.198101043701172, 'min': 0.018807105720043182}}",MNIST_ResNet_BS64_LR0.005_SCHDLCosine_SGD
MNIST,ResNet,64,0.005,None,SGD,0.11408907175064087,0.0006317438092082739,,,,,127,"{'StressTest/GradientNorm': {'avg': np.float64(1.2706184347515612), 'final': 5.2118024826049805, 'max': 6.947544097900391, 'min': 0.016716722398996353}}",MNIST_ResNet_BS64_LR0.005_SCHDLNone_SGD
MNIST,ResNet,64,0.005,StepLR,SGD,0.002133656060323119,0.0007593368645757437,,,,,151,"{'StressTest/GradientNorm': {'avg': np.float64(1.219874856474875), 'final': 0.08611294627189636, 'max': 6.317753314971924, 'min': 0.022161688655614853}}",MNIST_ResNet_BS64_LR0.005_SCHDLStepLR_SGD
MNIST,ResNet,64,0.01,Cosine,SGD,0.002397086936980486,0.0004953056923113763,,,,,100,"{'StressTest/GradientNorm': {'avg': np.float64(0.9749362634995313), 'final': 0.06564261019229889, 'max': 4.9470438957214355, 'min': 0.008935177698731422}}",MNIST_ResNet_BS64_LR0.01_SCHDLCosine_SGD
MNIST,ResNet,64,0.01,None,SGD,0.003790048183873296,0.0006556534208357334,,,,,98,"{'StressTest/GradientNorm': {'avg': np.float64(0.9569421359188934), 'final': 0.12132737040519714, 'max': 4.8583598136901855, 'min': 0.012739486992359161}}",MNIST_ResNet_BS64_LR0.01_SCHDLNone_SGD
MNIST,ResNet,64,0.01,StepLR,SGD,0.0017432654276490211,0.0006668440764769912,,,,,106,"{'StressTest/GradientNorm': {'avg': np.float64(0.951181656258431), 'final': 0.048466697335243225, 'max': 4.458411693572998, 'min': 0.014708435162901878}}",MNIST_ResNet_BS64_LR0.01_SCHDLStepLR_SGD
CIFAR10,ResNet,32,0.01,None,Adam,,,,,,,,{},CIFAR10ResNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,32,0.01,None,Adam,1.5100703239440918,1.0458451509475708,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9261013580881018), 'final': 0.9677693843841553, 'max': 12.321971893310547, 'min': 0.3733895719051361}}",ResNet_BS32_LR0.01_SCHDLNone_Adam
